risk_id,title,severity,failure_mode,why_dangerous,required_mitigation,source
R-0001,Fake manual economy selection,Critical,The planner tells the user to set a colony-type station to a chosen economy as if that were a direct control.,It recommends a mechanic the repository already rejects.,Enforce inherited-economy modeling and block direct choose-economy outputs.,"`mechanics/M-0002-station-economy-is-inherited.md`, `planner/planner_rules_register.md`, `planner/planner_safety.md`"
R-0002,Surface recommendations on impossible bodies,Critical,The planner recommends surface facilities on a Water World or another unsupported body/facility combination.,It produces impossible builds.,Run hard feasibility checks before recommendation generation.,"`mechanics/M-0001-water-worlds-have-no-surface-slots.md`, `planner/planner_rules_register.md`"
R-0003,Weak-link overconfidence,High,The planner treats weak-link spillover as dependable targeted control without sufficient corroboration.,It can recommend brittle or failed market-repair strategies.,Label weak-link-only recommendations as experimental and prefer local strong support for must-have outcomes.,"`mechanics/M-0003-one-weak-refinery-link-is-insufficient-to-restore-metals.md`, `mechanics/M-0006-strong-and-weak-link-routing.md`, `docs/contradiction_register.md`"
R-0004,Preview-state treated as completed-state truth,High,The planner treats preview equality or preview labels as proof of final completed behavior.,Preview panels can hide post-build differences.,"Distinguish preview, proposed, under-construction, and completed evidence states.","`evidence/EV-0003-a4-t3-station-selection-previews.md`, `docs/anomaly_register.md`"
R-0005,Proposed-build totals treated as current buildability,High,The planner treats a projected negative full-plan CP state as proof that the next selected build is currently invalid.,It can incorrectly block valid progress or recommend unnecessary demolition.,Separate current buildability from projected plan totals.,"`evidence/EV-0002-wregoe-raven-proposed-build-review.md`, `mechanics/M-0004-construction-points-and-facility-tiers.md`"
R-0006,Identity collapse across same-name facilities or disputed architects,High,The planner or research tooling merges records that merely share names or trusts a single public-page architect attribution as definitive.,It contaminates provenance and can attach the wrong evidence to the wrong system or builder.,Require system/body context and preserve attribution as a sourced claim.,"`ontology/identity_and_provenance_rules.md`, `docs/anomaly_register.md`, `evidence/source_authority_register.md`"
R-0007,Stale or mirrored sources override better evidence,High,"A stale community guide, mirror, or reposted document silently overrides direct live evidence or official wording.",It reintroduces already-known source drift.,Preserve source hierarchy and explicit contradiction tracking.,"`evidence/source_authority_register.md`, `docs/contradiction_register.md`, `docs/anomaly_register.md`"
R-0008,Demolition advice without strong direct evidence,Critical,The planner recommends irreversible demolition on the basis of weak or indirect evidence.,It creates a high-cost irreversible error.,Require stronger evidence for demolition than for additive or observational advice.,"`planner/knowledge_projection_rules.md`, `planner/contextual_strategy_register.md`, `evidence/EV-0002-wregoe-raven-proposed-build-review.md`"
R-0009,Missing primary artifacts mistaken for completed extraction,Medium,Future tooling assumes page-level extraction came from transient upload paths or original binaries and ignores the repository's committed canonical derivatives under `reference_sources/`.,It can either understate real extraction coverage or fabricate the wrong provenance path.,Treat `reference_sources/` as the canonical direct-extraction base and keep original-binary versus committed-derivative distinction explicit.,"`docs/source_coverage_register.md`, `docs/manual_research_gaps.md`"
R-0010,Agricultural advice that ignores the zero-output planetary agri bug,High,The planner recommends planetary agricultural ports as if they were always reliable agricultural producers.,Some of those ports can bug out and produce no agricultural goods.,Prefer orbital agriculture in high-confidence recommendations and warn explicitly when a ground agriculture design is chosen.,"`docs/contradiction_register.md`, `evidence/claim_register.csv`"
R-0011,Nested-port passthrough bug treated as stable design doctrine,Critical,The planner treats planetary-to-orbital inherited-economy passthrough as a safe permanent mechanic.,The guide itself warns this behavior is likely a bug and could be fixed.,Label any recommendation that depends on nested-port passthrough as experimental and reversible.,"`docs/contradiction_register.md`, `evidence/claim_register.csv`"
R-0012,Population-pruning demolition advice based on anecdote,Critical,The planner recommends demolition to reduce population or reset output without strong direct evidence that demolition actually lowers population.,It can create irreversible loss without delivering the intended population change.,Block population-pruning demolition advice until `LV-0009` is resolved.,"`experiments/live_verification_register.md`, `evidence/claim_register.csv`"
R-0013,Pad-size advice that trusts advertised settlement metadata,High,The planner recommends a facility to a large hauler because the variant advertises the required pad size.,Some variants appear to expose different real landing access than their advertised pad size suggests.,Preserve pad-size uncertainty warnings and request variant-level confirmation when large-hauler access matters.,"`docs/contradiction_register.md`, `evidence/claim_register.csv`"
R-0014,Arrow-count routing overconfidence,Critical,The planner treats visible Market Links arrow count as a direct additive proof of influence and recommends demolition or replacement based on that assumption.,Routed influence can be aggregated or forwarded in ways the visible topology does not reveal.,Block irreversible recommendations that rely only on arrow count and require live link inspection or targeted validation.,"`docs/contradiction_register.md`, `mechanics/M-0006-strong-and-weak-link-routing.md`, `planner/planner_rules_register.md`"
R-0015,Dependency-family flattening,High,The planner flattens every prerequisite into a generic family rule and ignores cases where the large or upgraded branch may be the actual requirement.,It can recommend build orders that look CP-valid but still fail live prerequisite checks.,Preserve branch-sensitive prerequisite caveats and treat unresolved chains as conditional until `LV-0012` is resolved.,"`docs/contradiction_register.md`, `mechanics/M-0009-facility-prerequisites-port-conversion-and-escalation.md`, `experiments/live_verification_register.md`"
