node_id,node_type,title,status,category,source_ref,path_or_ref
M-0001,mechanic,Water Worlds Have No Surface Slots,Confirmed,body_constraints,"EXP-0000; M-0001","mechanics/M-0001-water-worlds-have-no-surface-slots.md"
M-0002,mechanic,Station Economy Is Inherited Not Manually Chosen,Confirmed,economy,"EXP-0000; EV-0003","mechanics/M-0002-station-economy-is-inherited.md"
M-0003,mechanic,One Weak Refinery Link Is Insufficient To Restore Metals,Confirmed,economy_negative_evidence,"EXP-0000; EV-0002","mechanics/M-0003-one-weak-refinery-link-is-insufficient-to-restore-metals.md"
M-0004,mechanic,Construction Points and Facility Tiers,Likely,construction,"EV-0004","mechanics/M-0004-construction-points-and-facility-tiers.md"
M-0005,mechanic,Colony-Type and Specialised Ports,Likely,port_taxonomy,"EV-0003; EV-0004","mechanics/M-0005-colony-type-and-specialised-ports.md"
M-0006,mechanic,Strong and Weak Link Routing,Likely,market_links,"EV-0001; EV-0004","mechanics/M-0006-strong-and-weak-link-routing.md"
M-0007,mechanic,Colony Port Economy Inheritance,Likely,economy,"EV-0001; EV-0003; EV-0004","mechanics/M-0007-colony-port-economy-inheritance.md"
M-0008,mechanic,Local Body Base Economies and Modifiers,Likely,economy_body_effects,"EV-0004","mechanics/M-0008-local-body-base-economies-and-modifiers.md"
EXP-0000,experiment,Wregoe Methodology Seed,Active,methodology,"EXP-0000","experiments/EXP-0000-wregoe-methodology-seed.md"
EXP-0001,experiment,A4 Complementary High Tech Role,Awaiting completion,economy_experiment,"EXP-0001","experiments/EXP-0001-a4-complementary-high-tech-role.md"
EV-0001,evidence,Rocha Liberty Post High Tech Build Evidence,Analyst reviewed,screenshot_evidence,"EV-0001","evidence/EV-0001-rocha-liberty-post-high-tech-build.md"
EV-0002,evidence,Wregoe Raven Proposed Build Review,Analyst reviewed,planner_screenshot,"EV-0002","evidence/EV-0002-wregoe-raven-proposed-build-review.md"
EV-0003,evidence,A4 T3 Station Selection Preview Evidence,Analyst reviewed,architect_preview,"EV-0003","evidence/EV-0003-a4-t3-station-selection-previews.md"
EV-0004,evidence,Colonisation Reference Documents Pack,Analyst reviewed,reference_pack_metadata,"EV-0004","evidence/EV-0004-reference-documents-pack.md"
PR-0001,planner_rule,Optimize objectives not isolated facilities,Confirmed,decision_model,"decision_support_model","planner/planner_rules_register.md"
PR-0002,planner_rule,Block impossible builds,Confirmed,safety,"planner_safety; M-0001","planner/planner_rules_register.md"
PR-0003,planner_rule,Never imply direct station economy selection,Confirmed,economy_safety,"planner_safety; M-0002; M-0007","planner/planner_rules_register.md"
PR-0004,planner_rule,Prefer local strong links for targeted shaping,Likely,economy_strategy,"M-0003; M-0006","planner/planner_rules_register.md"
PR-0005,planner_rule,Treat visible arrows as incomplete routing evidence,Likely,analysis_safety,"M-0006","planner/planner_rules_register.md"
PR-0006,planner_rule,Distinguish current buildability from proposed-plan totals,Likely,construction_safety,"EV-0002; M-0004","planner/planner_rules_register.md"
PR-0007,planner_rule,Preserve negative evidence and contradictions,Confirmed,research_safety,"project_principles; planner_safety","planner/planner_rules_register.md"
PR-0008,planner_rule,Label every recommendation by confidence band,Confirmed,safety,"planner_safety","planner/planner_rules_register.md"
PR-0009,planner_rule,Never universalize a contextual strategy,Confirmed,decision_model,"decision_support_model; EXP-0001","planner/planner_rules_register.md"
PR-0010,planner_rule,Suggest experiments when confidence is weak,Confirmed,research_workflow,"planner_safety; experiments/README","planner/planner_rules_register.md"
CD-0001,coverage_dimension,Commodity coverage,Confirmed,planning,"decision_support_model; roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0002,coverage_dimension,Service coverage,Confirmed,planning,"decision_support_model; roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0003,coverage_dimension,Mission and activity coverage,Confirmed,planning,"decision_support_model; roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0004,coverage_dimension,Economy-shaping coverage,Confirmed,planning,"decision_support_model; M-0006","planner/coverage_dimensions_register.md"
CD-0005,coverage_dimension,Construction progression coverage,Confirmed,planning,"decision_support_model; M-0004","planner/coverage_dimensions_register.md"
CD-0006,coverage_dimension,Body-role coverage,Confirmed,planning,"roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0007,coverage_dimension,Resilience and redundancy coverage,Confirmed,planning,"roles_assets_strategies; M-0003; M-0006","planner/coverage_dimensions_register.md"
CD-0008,coverage_dimension,Confidence coverage,Confirmed,planning,"planner_safety; confidence_model_register","planner/coverage_dimensions_register.md"
CS-0001,contextual_strategy,Industrial Anchor plus High Tech Support Body,Experimental,strategy,"EXP-0001; EV-0001","planner/contextual_strategy_register.md"
CS-0002,contextual_strategy,Prefer local same-body shaping before remote spillover,Likely,strategy,"M-0003; M-0006","planner/contextual_strategy_register.md"
CS-0003,contextual_strategy,Use under-utilized bodies to fill gaps not mirror the strongest body,Confirmed,strategy,"decision_support_model; EXP-0001","planner/contextual_strategy_register.md"
CS-0004,contextual_strategy,Demolition is a late-stage strategy not a first response,Confirmed,strategy,"planner_safety; EV-0002","planner/contextual_strategy_register.md"
ER-0001,economy_rule,Station economy is inherited not manually chosen,Confirmed,economy,"M-0002","mechanics/economy_rules_register.md"
ER-0002,economy_rule,Colony-type ports inherit economy behavior,Likely,economy,"M-0005; M-0007","mechanics/economy_rules_register.md"
ER-0003,economy_rule,Specialised ports retain an inherent economy baseline,Likely,economy,"M-0005; M-0007","mechanics/economy_rules_register.md"
ER-0004,economy_rule,Local body type establishes base inheritable economies,Likely,economy_body_effects,"M-0008","mechanics/economy_rules_register.md"
ER-0005,economy_rule,Local body modifiers affect inherited economy tendency,Likely,economy_body_effects,"M-0008","mechanics/economy_rules_register.md"
ER-0006,economy_rule,Modifier stacking remains unverified,Needs verification,economy_body_effects,"M-0008; LV-0004","mechanics/economy_rules_register.md"
ER-0007,economy_rule,Strong links are preferred for targeted economy shaping,Likely,market_links,"M-0006","mechanics/economy_rules_register.md"
ER-0008,economy_rule,Weak links provide spillover not guaranteed control,Likely,market_links,"M-0006","mechanics/economy_rules_register.md"
ER-0009,economy_rule,One weak Refinery link was insufficient in the Wregoe Dodec case,Confirmed,economy_negative_evidence,"M-0003","mechanics/economy_rules_register.md"
ER-0010,economy_rule,Preview equality does not prove post-build market equality,Confirmed,port_comparison,"EV-0003; M-0005","mechanics/economy_rules_register.md"
CR-0001,construction_rule,Water worlds have no surface slots,Confirmed,body_constraints,"M-0001","mechanics/construction_rules_register.md"
CR-0002,construction_rule,Construction points are distinct from material cost,Likely,construction,"M-0004","mechanics/construction_rules_register.md"
CR-0003,construction_rule,Tier 1 facilities generate Tier 2 construction points,Likely,construction,"M-0004","mechanics/construction_rules_register.md"
CR-0004,construction_rule,Tier 2 facilities consume Tier 2 and generate Tier 3 construction points,Likely,construction,"M-0004","mechanics/construction_rules_register.md"
CR-0005,construction_rule,Tier 3 facilities consume Tier 3 construction points and do not generate more,Likely,construction,"M-0004","mechanics/construction_rules_register.md"
CR-0006,construction_rule,The initial Primary Port is a construction-point exception,Likely,construction,"M-0004","mechanics/construction_rules_register.md"
CR-0007,construction_rule,Current buildability differs from proposed full-plan totals,Likely,construction_safety,"EV-0002; M-0004","mechanics/construction_rules_register.md"
CR-0008,construction_rule,Placeholder names and visible previews are not enough to infer completion state,Confirmed,state_interpretation,"EV-0002; EV-0003","mechanics/construction_rules_register.md"
G-0001,glossary,Construction Points,Canonical,construction,"M-0004","ontology/glossary.md"
G-0003,glossary,Colony-Type Port,Canonical,port_taxonomy,"M-0005","ontology/glossary.md"
G-0006,glossary,Strong Link,Canonical,economy_routing,"M-0006; EV-0001","ontology/glossary.md"
G-0007,glossary,Weak Link,Canonical,economy_routing,"M-0003; M-0006","ontology/glossary.md"
G-0008,glossary,Coverage,Canonical,planning,"decision_support_model; roles_assets_strategies","ontology/glossary.md"
G-0009,glossary,Coverage Gap,Canonical,planning,"roles_assets_strategies","ontology/glossary.md"
G-0010,glossary,Role,Canonical,planning,"roles_assets_strategies","ontology/glossary.md"
G-0011,glossary,Architecture,Canonical,planning,"roles_assets_strategies; decision_support_model","ontology/glossary.md"
G-0012,glossary,Negative Evidence,Canonical,research_method,"project_principles; EXP-0000","ontology/glossary.md"
G-0013,glossary,Contradiction Case,Canonical,research_method,"platform_architecture","ontology/glossary.md"
G-0014,glossary,Knowledge Projection,Canonical,knowledge_system,"platform_architecture","ontology/glossary.md"
C-0001,contradiction,Official claim radius versus Steam mirror wording,Open,source_conflict,"data_sources_review","docs/contradiction_register.md"
C-0002,contradiction,Station-class superiority remains unproven,Open,evidence_conflict,"EV-0003","docs/contradiction_register.md"
C-0003,contradiction,Raven proposed-build deficits versus live buildability,Open,model_interpretation_conflict,"EV-0002; M-0004","docs/contradiction_register.md"
C-0004,contradiction,Weak-link generalisation versus Wregoe narrow failure,Open,heuristic_conflict,"M-0003; M-0006","docs/contradiction_register.md"
LV-0001,live_verification,A4 High Tech threshold and commodity coverage,Needs verification,economy,"EXP-0001; EV-0001","experiments/live_verification_register.md"
