rule_id,title,status,rule,related_mechanics,planner_implications,testing_status,contradictions,unknowns,source
CR-0001,Water worlds have no surface slots,Confirmed,"Water Worlds do not provide surface construction slots, so surface facilities cannot be recommended on them.",`M-0001`,Surface recommendations on Water Worlds must be blocked.,Direct Wregoe evidence,None currently recorded,None currently recorded,`mechanics/M-0001-water-worlds-have-no-surface-slots.md`
CR-0002,Construction points are distinct from material cost,Likely,Construction-point gating and material cost should be modeled as separate planning dimensions.,`M-0004`,"A build can be blocked by CP even when commodities are available, or appear CP-negative in projection while the immediate next build is still valid.",Supported by repository interpretation,`C-0003`,None currently recorded,`mechanics/M-0004-construction-points-and-facility-tiers.md`
CR-0003,Tier 1 facilities generate Tier 2 construction points,Likely,Tier 1 facilities require no construction points and generate Tier 2 construction points.,`M-0004`,Early sequencing should prioritize how T1 unlocks later options.,Reference-derived,None currently recorded,Facility-by-facility exceptions,`mechanics/M-0004-construction-points-and-facility-tiers.md`
CR-0004,Tier 2 facilities consume Tier 2 and generate Tier 3 construction points,Likely,Tier 2 facilities consume Tier 2 construction points and generate Tier 3 construction points.,`M-0004`,Tier 2 sequencing determines which T3 options become available.,Reference-derived,None currently recorded,None currently recorded,`mechanics/M-0004-construction-points-and-facility-tiers.md`
CR-0005,Tier 3 facilities consume Tier 3 construction points and do not generate more,Likely,Tier 3 facilities consume Tier 3 construction points and are terminal in the basic generation chain.,`M-0004`,T3 commitments should be planned carefully because they do not unlock further tiers.,Reference-derived,None currently recorded,Possible port-specific exceptions,`mechanics/M-0004-construction-points-and-facility-tiers.md`
CR-0006,The initial Primary Port is a construction-point exception,Likely,The first Primary Port appears to generate relevant construction points without requiring construction points to be established.,`M-0004`,Initial port creation should be modeled separately from later facility builds.,Reference-derived,None currently recorded,Whether all initial-port classes behave identically,`mechanics/M-0004-construction-points-and-facility-tiers.md`
CR-0007,Current buildability differs from proposed full-plan totals,Likely,A negative projected CP state across a full future plan is not enough to conclude that the next selected build is impossible right now.,`M-0004`,Separate `current buildability` from `proposed build plan`.,Supported by Wregoe/Raven evidence,`C-0003`,Additional edge cases outside Raven,"`mechanics/M-0004-construction-points-and-facility-tiers.md`, `evidence/EV-0002-wregoe-raven-proposed-build-review.md`"
CR-0008,Placeholder names and visible previews are not enough to infer completion state,Confirmed as a caution rule,"Placeholder names, proposal labels, or preview panels do not by themselves prove that a facility is completed and mechanically active.","`M-0004`, `M-0005`","Distinguish proposed, under-construction, previewed, and completed states.",Confirmed as a repository-handling rule,None currently recorded,None currently recorded,"`evidence/EV-0002-wregoe-raven-proposed-build-review.md`, `evidence/EV-0003-a4-t3-station-selection-previews.md`"
CR-0009,The completed primary port is effectively permanent,Extracted,"Once completed, the primary port cannot be changed; it can only be cancelled or abandoned before completion.","`M-0004`, `M-0009`",Primary-port selection needs stronger review than ordinary additive build decisions.,Extracted from Mega Guide v2.3.0,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0010,T2 and T3 port escalation begins when construction starts,Extracted,"The escalating CP cost for Tier 2 and Tier 3 ports begins as soon as construction is initiated, not when the port is completed.","`M-0004`, `M-0009`",Starting a high-tier port early can make every later high-tier port more expensive immediately.,Extracted from Mega Guide v2.3.0,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0011,The primary port is exempt from high-tier port escalation,Extracted,The primary port does not count toward the escalating T2/T3 port cost limit.,"`M-0004`, `M-0009`",A T3 primary port effectively grants a free top-tier anchor outside later CP escalation math.,Extracted from Mega Guide v2.3.0,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0012,"T1 ports, settlements, hubs, and installations are exempt from high-tier port escalation",Extracted,T1 ports and all non-port facility families are exempt from the escalating T2/T3 port cost mechanic.,"`M-0004`, `M-0009`",Use exempt facility families to expand support without inflating later T2/T3 port costs.,Extracted from Mega Guide v2.3.0,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0013,Construction concurrency is capped at five facilities,Extracted,No more than five facilities can be under construction at the same time in one system.,"`M-0004`, `M-0009`",Build sequencing must be scheduled in waves of five or fewer.,Extracted from Mega Guide v2.3.0,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0014,Large settlements are the best green-CP conversion tool,Extracted,"Large Tier 2 settlements convert one yellow CP into two green CP, making them uniquely efficient green-CP generators.","`M-0004`, `M-0009`",Use large settlements for temporary or permanent green-CP farming in capital builds.,Extracted from Mega Guide v2.3.0 and DaftMav-derived tables,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0015,Primary-installation material surcharges are tier-specific,Extracted,"The first installation carries a resource surcharge of +16% for Tier 1, +32% for Tier 2, and +20% for Tier 3.",`M-0009`,Add primary-installation surcharges into first-wave logistics instead of using standard facility totals.,Extracted from DaftMav-derived reference tables,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0016,Medium settlements cost exactly double small settlements of the same type,Extracted,Medium settlements require exactly 2x the resources of small settlements of the same type.,`M-0009`,Resource planning for medium settlements can be safely estimated from small-settlement baselines.,Extracted from DaftMav-derived reference tables,None currently recorded,None currently recorded,`evidence/claim_register.csv`
CR-0017,Large settlements cost exactly triple small settlements of the same type,Extracted,Large settlements require exactly 3x the resources of small settlements of the same type.,`M-0009`,Large-settlement hauling estimates can be derived directly from small-settlement baselines.,Extracted from DaftMav-derived reference tables,None currently recorded,None currently recorded,`evidence/claim_register.csv`
