unknown_id,title,category,unknown_statement,related_mechanics,related_live_verification,planner_implications,source
U-0001,Economy percentages to commodity exposure,Economy,How inherited economy percentages are transformed into final commodity availability at different station types.,"`M-0002`, `M-0007`","`LV-0001`, `LV-0002`",Commodity predictions must remain confidence-labeled.,"`mechanics/M-0002-station-economy-is-inherited.md`, `mechanics/M-0007-colony-port-economy-inheritance.md`, `planner/planner_rules_register.md`"
U-0002,Rank order versus absolute percentage,Economy,Whether top-two economy rank matters more than absolute percentage for commodity appearance.,"`M-0003`, `M-0006`, `M-0007`","`LV-0001`, `LV-0003`",Avoid overfitting to displayed percentages alone.,"`mechanics/M-0003-one-weak-refinery-link-is-insufficient-to-restore-metals.md`, `mechanics/M-0006-strong-and-weak-link-routing.md`, `experiments/EXP-0001-a4-complementary-high-tech-role.md`"
U-0003,Station-class post-build divergence,Port behavior,"Whether Orbis, Ocellus, Dodec, or other port classes diverge meaningfully after completion even when previews look equivalent.","`M-0005`, `M-0007`",`LV-0002`,Station-class optimization remains provisional.,"`mechanics/M-0005-colony-type-and-specialised-ports.md`, `evidence/EV-0003-a4-t3-station-selection-previews.md`, `docs/contradiction_register.md`"
U-0004,Specialised-port exemption depth,Port behavior,Which specialised port classes are fully exempt from local-body economy inheritance and which only partially resist it.,"`M-0005`, `M-0007`",`LV-0002`,Port taxonomy should remain cautious until class-specific confirmation exists.,`mechanics/M-0005-colony-type-and-specialised-ports.md`
U-0005,Weak-link sufficiency threshold,Market links,How much weak-link support is required before a targeted commodity outcome becomes reliable.,"`M-0003`, `M-0006`",`LV-0003`,Weak-link-only recommendations should remain experimental.,"`mechanics/M-0003-one-weak-refinery-link-is-insufficient-to-restore-metals.md`, `mechanics/M-0006-strong-and-weak-link-routing.md`, `docs/contradiction_register.md`"
U-0006,Main-port routing aggregation behavior,Market links,Whether visible Market Links aggregate upstream contributions through main surface and orbital ports rather than displaying direct one-to-one causality.,`M-0006`,`LV-0005`,Link-screen interpretation remains provisional.,"`mechanics/M-0006-strong-and-weak-link-routing.md`, `planner/planner_rules_register.md`"
U-0007,Body-modifier stacking behavior,Body economics,"Whether rings, organics, geological activity, and similar modifiers stack with base body economies or with each other.",`M-0008`,`LV-0004`,Avoid silent double-counting in economy models.,"`mechanics/M-0008-local-body-base-economies-and-modifiers.md`, `mechanics/economy_rules_register.md`"
U-0008,Terraforming modifier role,Body economics,Whether Terraforming acts only as a modifier-style influence or can dominate final port behavior in some contexts.,`M-0008`,future work required,Terraforming assumptions should remain weak until directly evidenced.,`mechanics/M-0008-local-body-base-economies-and-modifiers.md`
U-0009,Construction-point edge cases beyond current-versus-proposed interpretation,Construction,Whether every planner-visible negative CP state is explained by proposal-state conflation or whether deeper edge cases exist.,`M-0004`,future comparative cases,Avoid universalizing the Raven interpretation without more examples.,"`mechanics/M-0004-construction-points-and-facility-tiers.md`, `docs/contradiction_register.md`"
U-0010,Initial Primary Port exception scope,Construction,"Whether there are additional port exceptions beyond the initial Primary Port case, and whether all initial-port classes behave identically.",`M-0004`,future construction-sequencing work,Initial-port logic should remain explicit and caveated.,"`mechanics/M-0004-construction-points-and-facility-tiers.md`, `mechanics/construction_rules_register.md`"
U-0011,Body-linked public evidence granularity,Evidence architecture,What the best representation is when public evidence confirms facility existence but not exact orbital/body linkage.,cross-cutting,analyst workflow and future tooling design,Identity and body assignment may remain partly unresolved in public-only workflows.,`architecture/colonisation_intelligence_platform_architecture.md`
U-0012,Publication threshold for planner-safe knowledge,Knowledge governance,What precise confidence threshold is sufficient before a mechanic is published into planner-safe knowledge.,all,governance decision rather than live test,Publication policy should remain explicit and versioned.,"`architecture/colonisation_intelligence_platform_architecture.md`, `ontology/confidence_model_register.md`"
