claim_id,claim_type,status,confidence,title,claim_text,primary_basis,linked_mechanics,linked_contradictions,linked_unknowns,source_document,page_or_sheet,section_heading,category,evidence_type,planner_implication,needs_live_verification
CL-0001,mechanic_claim,Confirmed,High,Water Worlds are orbital-only for construction,Water Worlds in the current repository evidence should be treated as having no surface construction slots,OBS-0001; EXP-0000,M-0001,,,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,body_constraint,legacy_repository_evidence,Treat water worlds as orbital-only until directly disproven.,yes
CL-0002,mechanic_claim,Confirmed,High,Station economy is inherited,Colony station economy should not be treated as a direct player-selectable value,OBS-0002; EXP-0000,M-0002; M-0007,,U-0001,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,economy_inheritance,legacy_repository_evidence,Do not model station economy as player-selectable.,yes
CL-0003,mechanic_claim,Confirmed_Narrow,High,One weak Refinery link was insufficient in the tested Wregoe case,A single weak Refinery link did not restore Steel Titanium or Aluminium in the documented Dodec case,OBS-0003; EXP-0000; EV-0002,M-0003; M-0006,C-0004,U-0002; U-0005,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,weak_link_limit,legacy_repository_evidence,One weak link is not enough evidence for planner-safe restoration claims.,yes
CL-0004,evidence_claim,Observed,High,A4 post-build facility set included two High Tech Hubs,The Rocha Liberty evidence set shows A4 after the intended High Tech support build completed,OBS-0004; EV-0001,CS-0001,,,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,evidence_snapshot,legacy_repository_evidence,Use this as contextual build-state evidence rather than a universal rule.,no
CL-0005,evidence_claim,Observed,High,Rocha Liberty showed strong High Tech and Industrial support after build,Rocha Liberty displayed strong Industrial x2 and High Tech x2 links plus multiple weak links in the post-build state,OBS-0005; EV-0001,M-0006,,U-0006,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,post_build_observation,legacy_repository_evidence,"Use as corroborating routing evidence, not a universal formula.",no
CL-0006,evidence_claim,Observed,High,Rocha Liberty exposed mixed economies after build,Rocha Liberty advertised Industrial High Tech Extraction Military and Refinery in the post-build state,OBS-0006; EV-0001,M-0007,,U-0001,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,post_build_observation,legacy_repository_evidence,"Use as corroborating market-mix evidence, not a universal formula.",no
CL-0007,evidence_claim,Observed,High,Rocha Liberty showed multiple High Tech-style commodities after build,Post-build evidence showed Computer Components Auto-Fabricators Robotics Micro Controllers and Advanced Catalysers among visible commodities,OBS-0007; EV-0001,M-0007; CS-0001,,U-0001; U-0002,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,post_build_observation,legacy_repository_evidence,Use as corroborating commodity-exposure evidence.,no
CL-0008,planner_state_claim,Observed,Medium,Raven projected deficits and placeholder plans were visible,Raven planning screenshots showed unmet build-point needs and placeholder-style planned or unbuilt facilities,OBS-0008; OBS-0009; EV-0002,M-0004,,U-0009; U-0010,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,planner_state_observation,legacy_repository_evidence,Use as planning-state context rather than direct game-mechanic proof.,no
CL-0009,preview_claim,Observed,High,Apollo and Artemis Orbis previews looked mechanically identical on shown bars,No visible colony-effect bar differences were observed between Apollo and Artemis Orbis layout previews,OBS-0010; EV-0003,M-0005,,U-0003,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,preview_observation,legacy_repository_evidence,Do not infer station-class superiority from visually identical preview bars.,yes
CL-0010,preview_claim,Observed,Medium,No reliable station-class superiority was shown in the preview evidence,The available Orbis Ocellus and Dodec previews did not demonstrate clear mechanical superiority on the shown bars,OBS-0011; EV-0003,M-0005; M-0007,C-0002,U-0003; U-0004,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,preview_observation,legacy_repository_evidence,Preserve station-class uncertainty where preview evidence is weak.,yes
