rule_id,title,status,category,rule,related_mechanics,planner_implications,testing_status,contradictions,unknowns,related_decisions,source
PR-0001,"Optimize objectives, not isolated facilities",Confirmed,Decision model,"Start from player objective, constraints, current coverage, and gaps before recommending facilities.",contextual rule,"Facility lists are outputs of reasoning, not the start of reasoning.","Documentation-confirmed, operationally safe",None currently recorded,None,,"`planner/decision_support_model.md`, `ontology/roles_assets_strategies.md`"
PR-0002,Block impossible builds,Confirmed,Safety,Unsupported facility types and impossible body/build combinations must be blocked rather than merely soft-warned.,`M-0001`,Invalid recommendations should never reach the user as options.,Supported by Wregoe negative evidence,None currently recorded,None,,"`planner/planner_safety.md`, `mechanics/M-0001-water-worlds-have-no-surface-slots.md`"
PR-0003,Never imply direct station economy selection,Confirmed,Safety / economy,Do not tell the user to set a colony-type station to a chosen economy.,"`M-0002`, `M-0007`",Express economy shaping as an indirect projected outcome.,Supported by repository live evidence,None currently recorded,Final percentage-to-commodity mapping remains open,"`D-0002`, `D-0003`","`planner/planner_safety.md`, `mechanics/M-0002-station-economy-is-inherited.md`, `mechanics/M-0007-colony-port-economy-inheritance.md`"
PR-0004,Prefer local strong links for targeted market shaping,Likely,Economy strategy,"For must-have outcomes, prefer same-body strong-link support over remote weak-link spillover as the planner's default recommendation.","`M-0003`, `M-0006`",Weak-link-only plans should be labeled experimental unless corroborated.,"Partly supported, still requires broader live verification",`C-0004`,Exact threshold at which weak support becomes reliable,,"`mechanics/M-0006-strong-and-weak-link-routing.md`, `mechanics/M-0003-one-weak-refinery-link-is-insufficient-to-restore-metals.md`"
PR-0005,Treat visible arrows as incomplete routing evidence,Likely,Economy analysis,"Do not infer full causal structure from visible Market Links arrow count alone; treat arrow-count interpretation as a warning-bearing heuristic, not a complete routing proof.",`M-0006`,Require live link inspection and caution before demolition or architecture changes.,"Supported by the canonical reference-source pack, still awaiting direct routing verification",None currently recorded,Exact aggregation behavior between main surface and orbital ports,,`mechanics/M-0006-strong-and-weak-link-routing.md`
PR-0006,Distinguish current buildability from proposed-plan totals,Likely,Construction safety,A negative projected construction-point total that includes unbuilt facilities is not enough to declare the next selected build invalid.,`M-0004`,Separate `current` from `proposed full-plan` states in the UI and logic.,Supported by Wregoe/Raven interpretation evidence,`C-0003`,Additional planner-model edge cases,`D-0004`,"`mechanics/M-0004-construction-points-and-facility-tiers.md`, `evidence/EV-0002-wregoe-raven-proposed-build-review.md`"
PR-0007,Preserve negative evidence and contradictions,Confirmed,Research safety,Raw contradiction and failed predictions must remain visible instead of being flattened into a single confident answer.,all mechanics,Confidence must fall when credible conflicting evidence exists.,Governance-confirmed,None currently recorded,None,`D-0005`,"`constitution/project_principles.md`, `planner/planner_safety.md`, `experiments/EXP-0000-wregoe-methodology-seed.md`"
PR-0008,Label every recommendation by confidence band,Confirmed,Safety,"Every recommendation must be labeled `Confirmed`, `Likely`, `Experimental`, or `Unknown`.",all mechanics,The planner cannot output unsupported certainty.,Governance-confirmed,None currently recorded,None,,"`planner/planner_safety.md`, `architecture/colonisation_intelligence_platform_architecture.md`"
PR-0009,Never universalize a contextual strategy,Confirmed,Decision model,A locally good architecture must not be promoted into a universal rule without context.,contextual strategy rule,"State the objective, gap, and trade-off that made a strategy viable.",Documentation-confirmed,None currently recorded,None,"`D-0001`, `D-0002`","`planner/decision_support_model.md`, `ontology/roles_assets_strategies.md`, `experiments/EXP-0001-a4-complementary-high-tech-role.md`"
PR-0010,Suggest experiments when confidence is weak,Confirmed,Research workflow,"When confidence is insufficient, recommend a validation experiment or observation step instead of pretending certainty.",all experimental or unresolved mechanics,Live verification entries are first-class outputs.,Governance-confirmed,None currently recorded,None,,"`planner/planner_safety.md`, `experiments/README.md`, `architecture/colonisation_intelligence_platform_architecture.md`"
PR-0011,Resolve main-port priority before reading link topology,Extracted,Routing safety,Do not interpret same-body or cross-body routing until the planner has resolved which port is the Main Port on each body and whether another port has converted into a supporting-facility role.,"`M-0006`, `M-0009`","Port hierarchy is a prerequisite input, not a cosmetic detail.","Strong routing recommendation, still merits live edge-case verification",None currently recorded,Multi-port edge cases and some converted-port weak-link behavior,,"`mechanics/M-0006-strong-and-weak-link-routing.md`, `mechanics/M-0009-facility-prerequisites-port-conversion-and-escalation.md`"
PR-0012,Do not recommend irreversible changes from arrow count alone,Extracted,Routing safety,"Visible Market Links arrow count is not enough evidence to justify demolition, replacement, or other irreversible architecture changes.","`M-0006`, `M-0013`",Require live Market Links inspection or a targeted validation step before recommending destructive changes.,Strongly supported planner-safety recommendation from the canonical reference-source pack,None currently recorded,Exact aggregation behavior in every mixed surface-orbital routing pattern,,"`mechanics/M-0006-strong-and-weak-link-routing.md`, `mechanics/M-0013-system-scores-payments-and-high-risk-caveats.md`"
PR-0013,Dependency trees constrain build sequencing alongside CP math,Extracted,Construction safety,A planner must satisfy explicit prerequisite chains as well as construction-point availability before declaring a build order viable.,"`M-0004`, `M-0009`",CP-positive does not automatically mean buildable.,"Confirmed as planner-safe logic by canonical Mega Guide, DaftMav extracts, and dependency-flowchart corroboration",None currently recorded,A few branch-specific `large-settlement versus family-level prerequisite` details remain worth spot-checking live,,`mechanics/M-0009-facility-prerequisites-port-conversion-and-escalation.md`
